Name,Website,Region,Source
Allied Scrap Metal,https://alliedscrapmetal.com,,seed:manual
Allied Recycling Center,https://alliedrecyclingcenter.com,,seed:manual
Allied Scrap Processors,https://alliedscrap.com,,seed:manual
All-Met Recycling,https://allmetrecycling.com,,seed:manual
American Steel Processing,https://americansteelprocessing.com,,seed:manual
Anderson Metal Recycling,https://andersonmetalrecycling.com,,seed:manual
Arch Metals,https://archmetals.com,,seed:manual
Atlas Recycling (HI),https://atlasrecycling.com,PAC,seed:manual
Austin Recycling (TX),https://austinrecycling.com,TXG,seed:manual
B & Z Steel,https://bzsteel.com,,seed:manual
"Bay Metal, Inc.",https://baymetalinc.com,,seed:manual
Bayou Metal Supply,https://bayoumetalsupply.com,,seed:manual
Becker Iron & Trading Corp.,https://beckerirontrading.com,,seed:manual
Berg Recycling,https://bergrecycling.com,,seed:manual
Bestway Recycling,https://bestwayrecycling.com,,seed:manual
Big Country Recycling,https://bigcountryrecycling.com,,seed:manual
Blue Grass Recycling,https://bluegrassrecycling.com,,seed:manual
Buckman Iron & Metal,https://buckmanironmetal.com,,seed:manual
Bulldog Iron & Metal,https://bulldogironmetal.com,,seed:manual
C&C Metal Recycling,https://ccmetalrecycling.com,,seed:manual
Calvert City Recycling,https://calvertcityrecycling.com,,seed:manual
Capital Scrap Metal,https://capitalscrapmetal.com,,seed:manual
Carolina Metals Group,https://carolinametalsgroup.com,,seed:manual
Carolina Scrap Metal,https://carolinascrapmetal.com,,seed:manual
Cash’s Scrap Metal,https://cashscrapmetal.com,,seed:manual
Central Metal Recycling,https://centralmetalrecycling.com,,seed:manual
Central Kentucky Metal Recycling,https://ckmetalrecycling.com,,seed:manual
Central Metals (OK),https://centralmetalsok.com,TXG,seed:manual
Charleston Steel & Metal,https://charlestonsteelandmetal.com,,seed:manual
Cherokee Iron & Metal,https://cherokeeironandmetal.com,,seed:manual
Chicago Metal Recycling,https://chicagometalrecycling.com,,seed:manual
Cincinnati Recycling & Reuse Hub,https://cincinnatirecyclinghub.org,,seed:manual
City Scrap & Salvage,https://cityscrap.com,,seed:manual
Clark Iron & Metal (IN),https://clarkim.com,GL-ENC,seed:manual
Coastal Metals,https://coastalmetals.com,,seed:manual
Colorado Iron & Metal,https://coloradoironmetal.com,,seed:manual
Columbia Recycling (GA),https://columbiarecycling.com,SE,seed:manual
